artist_id,dim0,dim1
Pavilhão 9_2012-04-07,0.63371295,-0.066784605
Perry & Etty Farrell vs Chris Cox_2012-04-07,4.700607,0.662399
Peaches_2012-04-07,3.5218525,-0.2520317
Bassnectar_2012-04-07,2.6507215,0.35999963
The Crystal Method_2012-04-07,3.078088,0.025640393
Plebe Rude_2012-04-08,0.19534998,-6.601529
Thievery Corporation_2012-04-08,1.7620038,-0.7720781
Manchester Orchestra_2012-04-08,1.4002904,-8.727165
Foster The People_2012-04-08,2.1761441,-8.682448
Arctic Monkeys_2012-04-08,1.2713469,-8.864587
Cascadura_2012-04-08,1.2891392,-5.9802136
Gogol Bordello_2012-04-08,0.112237774,-7.980899
Friendly Fires_2012-04-08,2.1254036,-8.891951
MGMT_2012-04-08,2.267717,-8.673904
Jane’s Addiction_2012-04-08,-0.427959,-7.8646755
Bluebell_2012-04-08,4.020311,-6.603437
Black Drawing Chalks_2012-04-08,0.9729761,-5.8504314
Garage Fuzz_2012-04-08,0.7617896,-6.0147715
Velhas Virgens_2012-04-08,0.88626,-6.269468
Killer on the Dancefloor_2012-04-08,3.7509017,-0.9681698
Pretty Lights_2012-04-08,2.1035693,-0.6135403
Tinie Tempah_2012-04-08,0.91008246,-1.0995568
Skrillex_2012-04-08,3.1906989,0.44165167
Racionais_2012-04-08,0.6973861,-0.09391058
The Hu_2020-04-03,0.9325752,-7.1687083
Idles_2020-04-03,0.996396,-7.3176603
Cage The Elephant_2020-04-03,0.7930072,-8.507603
Guns N’ Roses_2020-04-03,-0.04420105,-7.252517
Jão_2020-04-03,2.8316307,-7.341358
Rex Orange County_2020-04-03,2.8260887,-8.424587
Rita Ora_2020-04-03,4.8630486,-7.764319
Lana Del Rey_2020-04-03,4.724465,-7.2282295
Edgar_2020-04-03,1.1281344,-0.8832026
Masego_2020-04-03,4.083574,0.6270825
Lauv_2020-04-03,2.8950891,-8.397357
King Princess_2020-04-03,5.0365725,-7.316304
James Blake_2020-04-03,2.9525194,0.017903406
Barja_2020-04-03,4.0409737,-6.084014
Beowülf_2020-04-03,0.89626855,-5.8380494
Jetlag_2020-04-03,4.2079206,-2.0022824
Vinne_2020-04-03,3.6503093,-0.86354345
San Holo_2020-04-03,1.0905201,0.6689522
Jaden Smith_2020-04-03,0.77673,-1.1810586
Chris Lake_2020-04-03,5.2024965,0.24281685
Rezz_2020-04-03,3.18833,0.42112812
Alan Walker_2020-04-03,4.2255893,0.4871693
Terno Rei_2020-04-04,2.7171795,-7.0382795
Yungblud_2020-04-04,1.92555,-8.387096
AJR_2020-04-04,2.7252626,-8.62118
Brockhampton_2020-04-04,0.8076689,-1.1383996
Travis Scott_2020-04-04,0.99692625,-0.9827308
